loo_position,sample_id,observed_y,loo_prediction,signed_residual,absolute_residual
0,1,14.25,14.648697129975226,-0.39869712997522555,0.39869712997522555
1,2,15.75,14.313623747635738,1.436376252364262,1.436376252364262
2,3,15.833333333333334,12.31940411455737,3.5139292187759636,3.5139292187759636
3,5,15.333333333333334,16.166755499235975,-0.8334221659026415,0.8334221659026415
4,6,12.833333333333334,12.807393531214084,0.025939802119250288,0.025939802119250288
5,7,13.333333333333334,12.81131135420511,0.5220219791282243,0.5220219791282243
6,8,15.333333333333334,13.828084188917877,1.5052491444154565,1.5052491444154565
7,9,13.333333333333334,13.099349028831373,0.23398430450196095,0.23398430450196095
8,12,15.416666666666666,12.446521165905601,2.970145500761065,2.970145500761065
9,13,14.083333333333334,12.548227013899258,1.5351063194340764,1.5351063194340764
10,14,12.916666666666666,14.911748333628651,-1.995081666961985,1.995081666961985
11,15,13.166666666666666,13.84627295899595,-0.679606292329284,0.679606292329284
12,16,12.166666666666666,12.824134918134508,-0.6574682514678418,0.6574682514678418
13,17,12.25,12.956664739651451,-0.7066647396514512,0.7066647396514512
14,18,13.083333333333334,13.529829528748282,-0.446496195414948,0.446496195414948
15,19,18.75,17.329460142676893,1.4205398573231065,1.4205398573231065
16,21,12.0,14.111123745757261,-2.1111237457572614,2.1111237457572614
17,22,15.333333333333334,12.777191003455123,2.5561423298782113,2.5561423298782113
18,23,18.416666666666668,15.710135233802164,2.7065314328645034,2.7065314328645034
19,24,15.166666666666666,15.069072756754487,0.0975939099121792,0.0975939099121792
20,25,14.0,15.464184037653173,-1.4641840376531725,1.4641840376531725
21,26,14.583333333333334,14.216229336726597,0.36710399660673687,0.36710399660673687
22,27,12.75,14.479702129513766,-1.7297021295137665,1.7297021295137665
23,28,14.166666666666666,14.62138768509755,-0.4547210184308845,0.4547210184308845
24,29,12.666666666666666,12.305946088609142,0.3607205780575242,0.3607205780575242
25,30,12.083333333333334,11.958943856174768,0.12438947715856585,0.12438947715856585
26,32,14.166666666666666,14.163752893149999,0.0029137735166671064,0.0029137735166671064
27,34,13.083333333333334,14.560158379347964,-1.4768250460146302,1.4768250460146302
28,36,17.166666666666668,16.569730836497836,0.5969358301688317,0.5969358301688317
29,37,17.916666666666668,16.801976273643046,1.114690393023622,1.114690393023622
30,38,14.166666666666666,15.13961496869162,-0.9729483020249532,0.9729483020249532
31,40,13.166666666666666,14.403604783674785,-1.236938117008119,1.236938117008119
32,41,17.833333333333332,14.9188230941075,2.914510239225832,2.914510239225832
33,43,17.583333333333332,17.26747445162387,0.3158588817094632,0.3158588817094632
34,44,13.666666666666666,15.046640270040221,-1.3799736033735552,1.3799736033735552
35,45,16.583333333333332,16.628885199632162,-0.04555186629882968,0.04555186629882968
36,46,14.0,15.0822170540299,-1.0822170540299005,1.0822170540299005
37,49,16.333333333333332,17.218050792741533,-0.8847174594082006,0.8847174594082006
38,50,17.833333333333332,17.226256786812705,0.6070765465206271,0.6070765465206271
39,51,14.833333333333334,16.27796012307338,-1.444626789740047,1.444626789740047
40,52,15.833333333333334,16.508747591761278,-0.6754142584279439,0.6754142584279439
41,53,17.25,15.594490781254311,1.6555092187456886,1.6555092187456886
42,54,17.416666666666668,16.32356293704718,1.0931037296194894,1.0931037296194894
43,55,16.75,15.824073231683844,0.9259267683161561,0.9259267683161561
44,56,16.083333333333332,13.831557502700855,2.251775830632477,2.251775830632477
45,58,14.75,14.689788452430822,0.060211547569178236,0.060211547569178236
46,59,12.416666666666666,12.590579102161508,-0.1739124354948416,0.1739124354948416
47,60,14.583333333333334,15.952924806061556,-1.3695914727282226,1.3695914727282226
48,101,10.083333333333334,10.40341814014334,-0.32008480681000684,0.32008480681000684
49,102,7.833333333333333,5.623896892432376,2.209436440900957,2.209436440900957
