features,fit_seconds,n_experiments,n_predictors,omitted_groups,retained_groups,run_signature,subset_id,train_oof_bias_age_minus_prediction,train_oof_mae,train_oof_r2,train_oof_rmse,step,parent_subset_id,candidate_removed_group,selected_at_step
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",104.64760666596703,5,31,['Box and Blocks'],"['Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_011111,0.04101442326159455,1.1295872828636515,0.8713306354369182,1.4134245304176256,1,groups_111111,Box and Blocks,True
"['Sex_0Female_1Male', 'boxAndBlocks', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",106.80271533294581,5,26,['Jebsen-Taylor'],"['Box and Blocks', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_101111,0.02528897793661617,1.1809223012585441,0.8578587329236478,1.4855768993317715,1,groups_111111,Jebsen-Taylor,False
"['Sex_0Female_1Male', 'boxAndBlocks', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",110.55122324998956,5,28,['Finger pressing'],"['Box and Blocks', 'Jebsen-Taylor', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_110111,-0.020365364134805056,1.2415388135807717,0.8493725389211229,1.5292804061700054,1,groups_111111,Finger pressing,False
"['Sex_0Female_1Male', 'boxAndBlocks', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",110.38810233399272,5,28,['Reach-to-grasp'],"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_111011,0.03707052119350314,1.1893451180040748,0.8582284099967068,1.4836438179972693,1,groups_111111,Reach-to-grasp,False
"['Sex_0Female_1Male', 'boxAndBlocks', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceHeavy', 'peakLoadForceHeavy', 'peakGripForceRateHeavy', 'peakLoadForceRateHeavy', 'T1T3Heavy', 'T1T5Heavy', 'liftMeanDifferencesHeavy', 'numPeaksHeavy']",109.72307020798326,5,24,['Lift-object light'],"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_111101,0.028334832931120817,1.211024182761919,0.8536164925047692,1.5075826155278806,1,groups_111111,Lift-object light,False
"['Sex_0Female_1Male', 'boxAndBlocks', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakLoadForceLight', 'peakGripForceRateLight', 'peakLoadForceRateLight', 'T1T3Light', 'T1T5Light', 'liftMeanDifferencesLight', 'numPeaksLight']",113.30683424999006,5,24,['Lift-object heavy'],"['Box and Blocks', 'Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object light']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_111110,-0.023039603216131656,1.1787874895050394,0.8516789317524663,1.5175271460315531,1,groups_111111,Lift-object heavy,False
"['Sex_0Female_1Male', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",110.75557150004897,4,25,"['Box and Blocks', 'Jebsen-Taylor']","['Finger pressing', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_001111,0.029390179474368696,1.2376158699269784,0.8340661020943388,1.605101881637485,2,groups_011111,Jebsen-Taylor,False
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",118.6428175419569,4,27,"['Box and Blocks', 'Finger pressing']","['Jebsen-Taylor', 'Reach-to-grasp', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_010111,0.014161901405366118,1.2627581047278056,0.8454541754520978,1.5490437515723376,2,groups_011111,Finger pressing,False
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakGripForceLight', 'peakGripForceHeavy', 'peakLoadForceLight', 'peakLoadForceHeavy', 'peakGripForceRateLight', 'peakGripForceRateHeavy', 'peakLoadForceRateLight', 'peakLoadForceRateHeavy', 'T1T3Light', 'T1T3Heavy', 'T1T5Light', 'T1T5Heavy', 'liftMeanDifferencesLight', 'liftMeanDifferencesHeavy', 'numPeaksLight', 'numPeaksHeavy']",123.80690479197074,4,27,"['Box and Blocks', 'Reach-to-grasp']","['Jebsen-Taylor', 'Finger pressing', 'Lift-object light', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_011011,0.042727624567692954,1.1949617218622504,0.85964882892315,1.4761927451017227,2,groups_011111,Reach-to-grasp,True
"['Sex_0Female_1Male', 'jebsen_PageTurning', 'jebsen_SmallObjects', 'jebsen_Beans', 'jebsen_Checkers', 'jebsen_LightCans', 'jebsen_HeavyCans', 'MVC', 'deltaV', 'V_UCM', 'V_ORT', 'peakvel', 'movementtime', 'maxaperturePercent', 'meandistance', 'peakGripForceHeavy', 'peakLoadForceHeavy', 'peakGripForceRateHeavy', 'peakLoadForceRateHeavy', 'T1T3Heavy', 'T1T5Heavy', 'liftMeanDifferencesHeavy', 'numPeaksHeavy']",114.4962008750299,4,23,"['Box and Blocks', 'Lift-object light']","['Jebsen-Taylor', 'Finger pressing', 'Reach-to-grasp', 'Lift-object heavy']",105253c886fb4765d17c93bee58872d67e767a032468db35e03d1bf56dd611c7,groups_011101,0.003472447327517521,1.2266562448254292,0.8450720692675533,1.5509575327800864,2,groups_011111,Lift-object light,False
