sample_id,inner_cv_rmse,fit_seconds,best_parameters,model__regressor__alpha,model__regressor__gamma
0,1.486034531333459,3.1326549160294235,"{'model__regressor__alpha': 0.1, 'model__regressor__gamma': 0.01}",0.1,0.01
1,1.4753621941991373,0.9502299169544131,"{'model__regressor__alpha': 0.1, 'model__regressor__gamma': 0.01}",0.1,0.01
2,1.4752982320414096,0.9735261669848114,"{'model__regressor__alpha': 0.1, 'model__regressor__gamma': 0.01}",0.1,0.01
3,1.4722365606236045,0.939038582961075,"{'model__regressor__alpha': 0.1, 'model__regressor__gamma': 0.01}",0.1,0.01
4,1.4455850338602438,0.9692840420175344,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.01}",0.03162277660168379,0.01
5,1.4464266339717442,0.932242332957685,"{'model__regressor__alpha': 0.1, 'model__regressor__gamma': 0.01}",0.1,0.01
6,1.4264357474313871,0.9600973749766126,"{'model__regressor__alpha': 0.1, 'model__regressor__gamma': 0.01}",0.1,0.01
7,1.4425534776685354,0.9270132919773459,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.01}",0.03162277660168379,0.01
8,1.4440322289368692,0.9139417499536648,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.01}",0.03162277660168379,0.01
9,1.4518672652560032,0.9228280000388622,"{'model__regressor__alpha': 0.1, 'model__regressor__gamma': 0.01}",0.1,0.01
10,1.4452890097652062,0.9500290839932859,"{'model__regressor__alpha': 0.1, 'model__regressor__gamma': 0.01}",0.1,0.01
11,1.4363898858243906,0.9459595000371337,"{'model__regressor__alpha': 0.1, 'model__regressor__gamma': 0.01}",0.1,0.01
12,1.4421244924589798,0.9199379170313478,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.01}",0.03162277660168379,0.01
13,1.441804682745417,0.9206902500009164,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.01}",0.03162277660168379,0.01
14,1.4448984949873378,0.9837774999905378,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.01}",0.03162277660168379,0.01
15,1.427588401739782,0.939954667002894,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.01}",0.03162277660168379,0.01
16,1.464770644950558,0.9423463339917362,"{'model__regressor__alpha': 0.1, 'model__regressor__gamma': 0.01}",0.1,0.01
