outer_fold,SubjectNumber,inner_cv_rmse,alpha,gamma,fit_seconds,subset_id
1,1,1.370277206320263,0.0316227766016837,0.003,2.954926041071303,groups_111111
2,2,1.3862402899705155,0.0316227766016837,0.003,0.9038372919894756,groups_111111
3,3,1.3377030979567262,0.0316227766016837,0.003,0.9083082909928636,groups_111111
4,5,1.3762056928475028,0.0316227766016837,0.003,0.8762577910674736,groups_111111
5,6,1.3829048589908768,0.0316227766016837,0.003,0.8729609589790925,groups_111111
6,7,1.3872642089145817,0.0316227766016837,0.003,0.8840087500866503,groups_111111
7,8,1.3743544095746991,0.0316227766016837,0.003,0.8765884588938206,groups_111111
8,9,1.391266373826063,0.0316227766016837,0.003,0.8926446670666337,groups_111111
9,12,1.3810488878605611,0.0316227766016837,0.003,0.8809003330534324,groups_111111
10,13,1.3831274627896404,0.0316227766016837,0.003,0.8868838750058785,groups_111111
11,14,1.3708674761520006,0.0316227766016837,0.003,0.9244134170003236,groups_111111
12,15,1.3877809203697216,0.0316227766016837,0.003,0.8899026670260355,groups_111111
13,16,1.382904720780869,0.0316227766016837,0.003,0.8829826670698822,groups_111111
14,17,1.3914356631447584,0.0316227766016837,0.003,0.8772824589395896,groups_111111
15,18,1.3913014870359393,0.0316227766016837,0.003,0.8788700000150129,groups_111111
16,19,1.394429369269756,0.0316227766016837,0.003,0.8768646660028026,groups_111111
17,21,1.371646321174021,0.0316227766016837,0.003,0.8783750000875443,groups_111111
18,22,1.370013814698306,0.01,0.003,0.8793271250324324,groups_111111
19,23,1.401814996378289,0.0316227766016837,0.003,0.872722375090234,groups_111111
20,24,1.4222479285627343,0.0316227766016837,0.003,0.8800454579759389,groups_111111
21,25,1.4155761005579128,0.0316227766016837,0.003,0.8796543749049306,groups_111111
22,26,1.4327316015074203,0.0316227766016837,0.003,0.8868192909285426,groups_111111
23,27,1.4199170619201733,0.0316227766016837,0.003,0.8822775840526447,groups_111111
24,28,1.423260303947511,0.0316227766016837,0.003,0.886150166974403,groups_111111
25,29,1.426230624211544,0.0316227766016837,0.003,0.874429416959174,groups_111111
26,30,1.4214174185835773,0.0316227766016837,0.003,0.880605083075352,groups_111111
27,32,1.4224547928633196,0.0316227766016837,0.003,0.8939918749965727,groups_111111
28,34,1.4160494726707749,0.0316227766016837,0.003,0.880753708886914,groups_111111
29,36,1.4256276762158058,0.0316227766016837,0.003,0.876676750020124,groups_111111
30,37,1.4120860883699309,0.0316227766016837,0.003,0.8777176250005141,groups_111111
31,38,1.4038990127787132,0.0316227766016837,0.003,0.8875092909438536,groups_111111
32,40,1.412688677094171,0.0316227766016837,0.003,0.9005771670490503,groups_111111
33,41,1.3836057849025616,0.0316227766016837,0.003,0.8923893329920247,groups_111111
